gender,category,grade_10,grade_12,graduation_score,graduation_type,admission_test_score,work_exp_months,IIM_A,IIM_B,IIM_C,IIM_I,IIM_K,IIM_L
Female,General,91.8,80.3,78.2,Engineer,95.92,0,0,0,0,0,0,0
Male,General,88.2,70.9,71.6,Non-Engineer,76.6,0,0,0,0,0,0,0
Male,General,83.7,70,60.8,Engineer,97.86,0,0,0,0,0,0,0
Male,General,95,88,85,Non-Engineer,95.38,20,1,0,0,0,1,0
Female,NC_OBC,89.1,62,67.4,Engineer,87.66,0,0,0,0,0,1,0
Male,General,87.8,84.5,72.7,Engineer,91.28,0,0,0,0,0,0,0
Female,General,91,89,82,Non-Engineer,94.75,0,0,0,0,1,1,0
Male,EWS,72.2,86.2,76.2,Non-Engineer,79.82,0,0,0,0,0,0,0
Female,EWS,93.8,86,66,Non-Engineer,83.05,0,0,0,0,0,0,0
Female,General,95,91.3,73.2,Non-Engineer,82.9,0,0,0,0,0,0,0
Male,General,79.8,89.2,63.8,Engineer,99.44,29,0,0,0,0,0,0
Male,EWS,79.8,81,61,Non-Engineer,96.93,0,0,0,0,0,0,0
Male,General,83.6,95.8,72.1,Engineer,95.87,0,0,0,0,0,0,0
Male,General,85,77.5,70.7,Engineer,97.55,1,0,0,0,0,0,0
Male,General,85.5,78.3,75.3,Engineer,94.69,26,0,0,0,0,0,0
Male,EWS,87.4,94.2,68.5,Engineer,98.93,12,0,0,1,1,1,0
Female,NC_OBC,74.1,69.4,67.1,Non-Engineer,82.61,0,0,0,0,0,0,0
Male,General,81.7,89,83.7,Engineer,98.13,10,0,0,0,0,0,0
Female,General,91,95,88,Engineer,98.73,0,0,0,0,1,1,1
Male,NC_OBC,97.6,96.4,76.8,Engineer,96.62,6,0,1,0,1,1,1
Male,NC_OBC,95,93.8,74.1,Engineer,81.67,0,0,0,0,0,0,0
Female,SC,88.8,92.2,76.2,Non-Engineer,62.98,0,0,0,0,1,0,0
Male,General,93.1,94.6,80.2,Engineer,97.21,12,0,0,0,0,0,0
Male,General,85.5,75.2,64.7,Non-Engineer,99.9,0,0,1,1,0,1,0
Male,NC_OBC,97.8,95.4,85,Engineer,95.54,0,0,0,0,0,1,0
Male,General,93.8,76.6,74.1,Engineer,92.06,0,0,0,0,0,0,0
Male,NC_OBC,91.7,87.4,85.2,Engineer,97.32,26,1,1,1,1,1,0
Male,General,95,91.8,75.9,Engineer,98.6,22,0,0,0,0,0,0
Male,General,93.4,79,64.5,Engineer,91.71,17,0,0,0,0,0,0
Male,General,85,85.3,67,Non-Engineer,99.35,15,0,0,0,0,1,0
